조사일,주차,생장길이(cm),화방높이(cm),줄기굵기(mm),엽장(cm),엽폭(cm),엽수(개),개화군(점),착과군(점),열매수(개),최종화방번호(번)
2022-03-30,2,0.0,0.0,0.0,236.0,174.0,7.0,0.0,0.0,0.0,0.0
2022-04-06,3,240.0,105.0,6.0,290.0,237.0,9.0,1.0,0.0,0.0,2.0
2022-04-13,4,316.0,134.0,9.0,385.0,308.0,9.0,3.0,2.0,7.0,3.0
2022-04-20,5,262.0,161.0,9.0,536.0,397.0,12.0,4.0,3.0,9.0,4.0
2022-04-27,6,289.0,138.0,8.0,503.0,345.0,12.0,4.0,4.0,11.0,5.0
2022-05-04,7,243.0,78.0,6.0,455.0,295.0,11.0,5.0,5.0,13.0,6.0
2022-05-11,8,268.0,205.0,8.0,493.0,423.0,10.0,6.0,5.0,16.0,6.0
2022-05-18,9,204.0,131.0,8.0,498.0,403.0,7.0,7.0,6.0,14.0,7.0
2022-05-25,10,244.0,99.0,6.0,476.0,413.0,9.0,7.0,7.0,13.0,8.0
2022-06-01,11,258.0,196.0,8.0,476.0,413.0,8.0,8.0,7.0,11.0,9.0
2022-06-08,12,193.0,249.0,10.0,490.0,445.0,9.0,9.0,8.0,11.0,9.0
2022-06-15,13,0.0,0.0,10.0,581.0,513.0,9.0,10.0,9.0,13.0,10.0
2022-06-23,14,0.0,0.0,11.0,598.0,533.0,9.0,3.0,11.0,15.0,10.0
2022-06-29,15,0.0,0.0,11.0,563.0,486.0,9.0,0.0,10.0,13.0,10.0
2022-07-06,16,0.0,0.0,11.0,566.0,492.0,9.0,0.0,10.0,11.0,10.0
2022-07-13,17,0.0,0.0,11.0,570.0,521.0,9.0,0.0,10.0,10.0,10.0
2022-07-20,18,0.0,0.0,11.0,575.0,525.0,8.0,0.0,8.0,8.0,10.0
2022-07-27,19,0.0,0.0,12.0,581.0,538.0,8.0,0.0,8.0,5.0,10.0
