조사일,생장길이(cm),열매수(개)
2017-12-24,393.0,0.0
2017-12-31,63.0,0.0
2018-01-07,38.0,0.0
2018-01-14,54.0,4.0
2018-01-21,75.0,8.0
2018-01-28,125.0,13.0
2018-02-04,84.0,27.0
2018-02-11,55.0,28.0
2018-02-18,115.0,39.0
2018-02-25,119.0,47.0
2018-03-04,113.0,67.0
2018-03-11,164.0,79.0
