수집일,내부CO2(ppm),내부습도(%),지습(%),강우감지,일사량(W/m-2·s),외부온도(도),내부온도(도),지온(도),외부풍속(m/s)
2018-07-21,421.63,78.46,0,604.17,297.5,29.08,30.46,33.79,0.63
2018-07-22,410.08,70.58,0,347.21,284,30.13,31.58,34.29,1.46
2018-07-23,381.33,71.17,0,0,314.92,29.67,31.29,34.79,0.67
2018-07-24,380.54,76.58,0,736.13,320.33,29.75,31.17,34.46,1.04
2018-07-25,372.25,78.83,0,597.21,249.04,28.96,30.5,32.96,0.88
2018-07-26,396.96,79.83,0,437.5,291.83,28.67,30.29,33.46,0.67
2018-07-27,401.71,77.83,0,1013.88,307.04,29.13,30.92,33.58,0.67
2018-07-28,394.04,80.83,0,340.25,283.38,28.83,30.38,33.29,0.83
2018-07-29,380.33,70.67,0,0,305.08,29.83,31.42,33.29,1.5
2018-07-30,360.17,66.5,0,0,282.54,30.25,31.42,33.21,1.67
2018-07-31,380.29,73.5,0,20.83,315.33,29.21,31.04,33.17,1.08
2018-08-01,396.67,73.21,0,291.67,321.88,30.13,31.88,33.67,1.17
2018-08-02,399.13,73.75,0,138.92,307.58,30.58,32.13,33.83,0.88
2018-08-03,387.67,67.17,0,0,312.58,30.96,32.58,34.67,1
2018-08-04,393.17,76.79,0,0,299.96,29.13,30.96,33.08,1
2018-08-05,388,79.88,0,0,271.29,28.88,30.46,32.58,1.21
2018-08-06,399.88,77.88,0,0,309.13,29.21,31.04,33.21,0.75
2018-08-07,391.21,79.08,0,0,269.63,29.5,31.17,33,0.92
2018-08-08,381.67,76.75,0,0,296.54,29.63,31.25,33.17,0.83
2018-08-09,398.63,76.71,21.5,0,307.17,29.17,30.88,33.04,0.92
2018-08-10,393.04,80.08,60.92,180.54,263.38,29.33,31.13,32.63,0.67
2018-08-11,380.54,77.71,60.5,41.67,229.79,29.21,30.63,32.63,0.38
2018-08-12,385.13,79.88,60.5,13.88,205.5,28.75,29.79,31.83,0.33
2018-08-13,405.79,78.33,61.42,0,280.96,29.96,31.29,32.58,0.67
2018-08-14,407.75,74.96,61.58,0,308.25,30.04,31.25,32.58,0.71
2018-08-15,399.96,74.46,61.79,541.67,307.46,29.54,31.29,32.25,0.63
2018-08-16,375.54,77.5,61.88,0,228,28.63,29.88,31.46,0.79
2018-08-17,339.83,65.38,60.71,0,320.75,26.79,27.96,29.54,1.29
2018-08-18,349.33,71.67,60.67,0,319.92,24.63,26.21,28.5,0.38
2018-08-19,362.33,73.67,61.39,0,299.3,25.87,27.29,29.04,0.13
2018-08-20,381.71,81.38,60.22,0,34.22,23.78,26.33,26.67,0
2018-08-21,364.21,80.46,62.92,0,167.58,27.33,26.58,30.25,0.25
2018-08-22,354,72.17,63.08,0,278.96,29.29,30.25,30.54,1.17
2018-08-23,363.33,85.25,62.08,4361.08,58.96,26.96,27.42,29.13,2.25
2018-08-24,360.29,90.79,62.42,3965.29,118.25,24.88,26.25,27.88,3.25
2018-08-25,354.58,83.33,62.5,256.92,164.33,24.92,25.96,27.63,0.92
2018-08-26,345.67,93.21,62.17,5493.04,47.21,21.33,22.83,25.13,1.71
2018-08-27,385.54,97.79,62.71,6138.83,43.79,24.13,25.42,25.67,0.38
2018-08-28,364.46,91.5,63.71,1625,163.13,26.33,27.25,28.04,0.96
2018-08-29,373.08,85.17,63.54,20.83,272,26.75,27.67,28.71,1.25
2018-08-30,359.42,93.75,63.29,1965.29,94.38,25.75,26.67,28.13,1.38
2018-08-31,369.67,92.58,62.88,3555.58,106.08,23,24.33,26.88,1.08
2018-09-01,364.5,83.71,63.25,0,234.88,25,25.83,27.08,1.08
2018-09-02,351.33,82.96,63.04,0,210.38,23.75,24.75,26.46,1.08
2018-09-03,363.08,88.58,63.33,1965.25,158.92,25.58,26.63,27.54,1.21
2018-09-04,360.54,85.79,63.67,1722.25,299.13,23.83,25.25,27.29,1.29
2018-09-05,357.92,81.83,63.17,0,306.13,23.29,24.42,25.79,1.25
2018-09-06,345.46,84.88,62.54,562.54,148.04,23.54,24.21,25.79,1.63
2018-09-07,340,85.67,62.63,395.83,160.54,21.67,22.46,24.67,1.54
2018-09-08,372.08,78.88,62.04,0,290.5,20.13,21.38,23.38,0.96
2018-09-09,380.13,81.71,62.08,0,299.58,19.88,21.38,23.54,0.96
2018-09-10,378.46,80.46,62.25,0,286.38,20.96,21.92,23.58,0.67
2018-09-11,346.67,81.21,61.54,0,216.13,19.46,20.5,22.88,0.67
2018-09-12,346.38,82.58,62.26,0,302.87,20.83,21.88,23.61,0.91
2018-09-13,357.33,90.79,62.41,578.41,125.53,21.94,21.88,23.59,1.59
2018-09-14,338.25,92,62.21,909.75,102.04,21.75,22.33,23.17,2.13
2018-09-15,355.63,91.38,62.88,41.67,119.46,23.33,23.83,24.58,0.67
2018-09-16,389.21,92.13,63.25,55.54,107,23.08,23.67,24.96,0.33
2018-09-17,368.79,87.21,63.42,62.5,227.54,21.75,22.75,24.38,0.67
2018-09-18,389.88,84.46,63.13,0,273.63,20.46,21.88,23.54,0.63
2018-09-19,391.83,84.92,62.83,0,118.46,21.04,21.46,22.71,0.17
2018-09-20,359.33,91.96,63.21,1034.71,104.38,21.17,21.96,23.13,1.17
2018-09-21,362.58,96.38,63.46,4090.29,67.13,19.92,21.17,22.71,1.04
2018-09-22,381.25,86.79,63.46,506.92,235.33,20.5,21.38,22.92,0.71
2018-09-23,373.46,88.46,62.83,76.38,194.75,18.75,19.67,21.67,0.88
2018-09-24,364.38,85.38,62.29,0,222.63,16.92,18.38,20.71,0.83
2018-09-25,357.67,83.75,62.21,0,278.17,16.04,18.33,20.17,0.92
2018-09-26,324.75,84.96,62.33,0,213.17,18.25,19.25,20.83,2.13
2018-09-27,328.04,84.42,62.54,0,271.83,17.83,19,20.92,1.5
2018-09-28,327.13,89.5,62.46,0,110.92,17.38,17.96,19.46,0.83
2018-09-29,332.13,85.83,63.29,0,258.25,19.17,20.13,21.13,1.04
2018-09-30,331.29,86.21,62.67,0,250.42,17.88,19.17,21.25,1.92
2018-10-01,326.04,89.58,62.83,1666.58,171.92,16.38,18.38,20.04,1.96
2018-10-02,372.92,87.63,63,0,237.17,15.38,17.67,19.71,0.29
2018-10-03,373.92,87.71,62.79,0,257.79,15.21,18.5,19.5,0.13
2018-10-04,362.71,86.46,63.08,48.63,241.04,17.58,19.67,20.13,0.25
2018-10-05,346.46,98.42,62.67,9562.46,32.04,17.29,19.21,20.17,2.92
2018-10-06,303,96.13,63.79,4111.08,81.08,18.38,19.46,20.42,4.75
2018-10-07,336.17,89.83,64.04,0,249,16.42,18.33,19.71,1.08
2018-10-08,354.38,91,63.96,0,197.88,14.25,17.75,19.08,0.67
2018-10-09,352.79,91.92,63.88,0,128.08,14.96,17.5,18.58,1
2018-10-10,318.17,90.13,63.96,750,216,14.38,18.04,19.21,2.38
2018-10-11,347.42,91.5,63.83,34.71,219.63,11.17,17.46,18.33,1.17
2018-10-12,349.63,91.29,63.79,0,241.79,10.71,18.04,18.75,0.96
2018-10-13,382.96,90.46,63.88,0,236.96,11.21,18,18.63,0.83
2018-10-14,389,90.92,63.88,0,215.63,12.33,17.92,18.79,0.25
2018-10-15,374.63,92.96,63.88,0,190.17,13.71,17.88,18.75,0.71
2018-10-16,403.33,94,63.75,0,109.38,13.17,17.33,18.33,0.29
2018-10-17,385.5,91.46,63.88,0,221.79,12.17,17.75,18.58,0.79
2018-10-18,374.29,91.79,63.54,0,201.21,11.25,17.71,18.42,0.79
2018-10-19,366.08,90.54,63.42,0,230,12.13,17.71,18.42,0.13
2018-10-20,381.58,90.96,62.92,0,216.13,11.38,17.75,18.21,0.38
2018-10-21,384.96,90.58,62.58,0,211.79,11.67,17.71,18.58,0.29
2018-10-22,388.67,93.42,62.38,0,140.5,12.38,17.29,18.42,0.04
2018-10-23,426.17,94.46,62.33,645.88,132.79,12.58,17.13,17.96,0.17
2018-10-24,392.46,91.75,62.67,0,212.08,11.92,18.04,18.67,0.13
2018-10-25,381.13,90.46,62,0,205.21,12.38,17.92,18.33,0.04
2018-10-26,392.79,99.08,60.63,2777.79,25.67,12.92,15.83,17.17,1.33
2018-10-27,293.5,96.04,61.38,590.29,86.46,11.21,16.17,17.13,2.38
2018-10-28,334.79,93.63,62.04,625,180.54,12.13,18,18.04,3.25
2018-10-29,328.58,95.25,61.75,458.33,129.46,10.54,17.5,17.96,0.75
2018-10-30,339.33,92.42,62.13,0,203.58,8.17,18.17,18.58,0.21
2018-10-31,334.04,92.88,61.5,319.46,160.5,7.71,17.88,17.83,0.88
2018-11-01,353.29,91.58,61.58,0,200.13,7.75,17.96,18.08,0.13
