수집일,내부CO2(ppm),내부습도(%),지습(%),강우감지,일사량(W/m-2·s),외부온도(도),내부온도(도),지온(도),외부풍속(m/s)
2018-11-02,358.46,91.67,61.5,0,197.46,9.08,18.21,18.29,0.25
2018-11-03,362.92,92.42,61.38,0,174.17,9.67,17.88,18.17,0.42
2018-11-04,364.88,92.71,61.54,0,183.71,9.92,17.83,18.08,0.21
2018-11-05,374.17,92.29,61.54,0,185.71,9.75,17.67,17.96,0.17
2018-11-06,390.79,95.08,61.25,0,118.75,10.75,17.17,17.54,0
2018-11-07,420.75,98.92,60.79,3201.33,21.71,12.04,15.58,16.83,0
2018-11-08,357.63,99.5,60.67,5743,20.88,14.5,16.46,16.96,0.5
2018-11-09,313.46,94.38,54.46,250,110.33,13.04,16.79,17.67,3.21
2018-11-10,340.92,93.46,43.38,0,170.63,12.33,17.96,18.33,1.04
2018-11-11,313.29,98.63,42.04,618.08,40.88,10.13,16.33,17.21,0
2018-11-12,327.67,93.33,42.79,0,172.75,9.21,17.08,17.54,0.08
2018-11-13,345.04,92.08,42.54,0,170.13,7.71,17.13,17.17,0
2018-11-14,361.5,93.88,42.29,0,166.04,7.88,16.96,17.17,0
2018-11-15,359.83,97.04,42.17,0,150.71,8.96,16.5,16.75,0
2018-11-16,352.08,95.67,41.58,222.21,56.54,9.21,16.21,16.58,0
2018-11-17,339.33,88.04,42.38,0,181.25,6.96,17.25,16.83,0.25
2018-11-18,335.79,94.33,41.25,0,60.88,5.83,15.83,16.08,0.38
2018-11-19,330,90.63,41.96,76.38,145.25,7.79,17.38,16.96,0
2018-11-20,334.88,87.96,42.13,0,169.21,6.79,16.71,16.42,0
2018-11-21,334.63,90.46,41.79,416.67,93.54,6,16.17,16.04,1.17
2018-11-22,330.38,87.33,42.08,0,168.92,4.04,16.92,16.54,0.38
2018-11-23,343.29,88.42,41.63,0,156.13,2.96,17.13,16.42,0
2018-11-24,379.96,93.79,41.13,1993.08,53.33,6.46,15.79,15.75,0.46
2018-11-25,381.08,92.83,41.67,13.88,102.13,6.21,16.42,16.21,0.42
2018-11-26,390.54,90.5,41.96,0,158.13,6.58,17.79,16.88,0
2018-11-27,413.71,91.71,42.54,0,120.54,7.92,18.21,17.54,0
2018-11-28,404.67,90.71,42.42,0,85.54,6.13,17.21,17.08,0
2018-11-29,440.67,92.79,42.42,48.58,72.54,4.88,16.67,16.42,0
2018-11-30,417.92,91.38,43.33,0,153.46,5.21,18.21,17.46,0.21
2018-12-01,389,95.33,42.21,0,89.08,5.13,17.38,16.96,0.29
2018-12-02,384.13,98.08,42.54,6.96,119.13,8.71,18.04,17.21,0
2018-12-03,439.17,99.46,42.54,3041.58,33.17,13.54,17.33,18,0
2018-12-04,388.21,98.67,42.83,2250.04,67.79,10.04,17.13,17.67,1.29
2018-12-05,379.58,99.25,43.04,0,119.79,2.83,17.13,16.67,1.04
2018-12-06,389.08,99.75,42.33,1222.21,63.38,3.13,16.58,16.46,1.38
2018-12-07,355.42,99.79,42.58,0,118.46,-1.33,16.29,15.83,3.33
2018-12-08,370.5,99.79,42.58,673.63,125.33,-4.33,16.04,15.38,1.75
2018-12-09,371,99.83,42.67,0,156.33,-4.04,16.25,15.08,1.75
2018-12-10,378.67,99.79,42.92,0,155.08,-1.5,16.88,15.71,0.58
2018-12-11,426.71,99.96,41.63,375,34,-0.08,15.58,14.92,0
2018-12-12,396.96,99.83,43.08,0,138.13,-0.5,16.96,15.92,0.21
2018-12-13,352.88,99.79,43.42,229.17,82.88,1.63,16.5,16.04,1.54
2018-12-14,336,99.75,43.71,0,138.04,-0.83,17.21,17.08,0.71
2018-12-15,370.08,99.83,43.67,0,138.5,-1.79,16.88,16.63,0.08
2018-12-16,395.13,99.63,40.21,159.71,80.17,0.79,16.42,15.71,0.33
2018-12-17,362.88,99.71,39.75,791.67,117.46,3.42,17.21,17.04,0.54
2018-12-18,364.17,99.67,40.04,62.5,125.42,3.96,17.54,17.33,1.58
2018-12-19,357.63,89.04,40.25,0,110.88,7.58,17.67,17.83,1.13
2018-12-20,371.04,84.29,39.88,0,87.58,6.08,17.46,17.5,0.33
2018-12-21,370.63,85.04,39.88,0,46.96,4.63,16.21,16.13,0
2018-12-22,380.04,82.33,41.04,0,124.83,6.46,17.83,17.54,0.38
2018-12-23,355.33,82.13,41.46,20.83,144.42,6.08,17.63,18.08,0.25
2018-12-24,387.25,78.58,41.25,0,138.79,-0.04,16.92,17.04,0.29
2018-12-25,437.13,83.54,41.17,0,64.42,0.13,15.79,15.92,0.13
2018-12-26,419.04,83.96,41.88,0,124.04,2.54,17.13,16.67,0.13
2018-12-27,391.08,77.13,41.79,0,146.67,-4.04,15.83,16.13,0
2018-12-28,390.58,73.75,40.96,0,130.88,-5.83,15.58,15.38,0
2018-12-29,415.46,79.79,41.63,1083.38,138.33,-5.25,16.17,15.58,0.17
2018-12-30,432.42,81.17,42.29,69.46,141,-4.67,16.08,15.58,0
2018-12-31,449.71,80.83,42.58,0,149.67,-3.63,16.67,16.17,0
2019-01-01,471.13,85.54,42.54,1326.38,72.75,-1.08,15.88,15.92,0
2019-01-02,416.79,81.63,43.04,0,135.04,-2.04,16.29,15.71,0.58
2019-01-03,435,82.46,43.54,0,148.83,-2.67,16.67,16.46,0.13
2019-01-04,476.67,87.42,42.83,0,58.92,-2.04,15.38,15.63,0
2019-01-05,462.21,86.13,44,0,136.54,0.21,17,16.42,0
2019-01-06,444.42,84.54,44.92,0,148.71,-1.96,16.75,16.42,0.17
2019-01-07,456,87.21,45.21,0,116.25,-1.54,15.71,15.71,0
2019-01-08,452.67,87.42,45.54,0,109.92,-0.92,15.54,15.46,0.13
2019-01-09,439.38,86.54,46.04,0,117.17,-3.25,15.71,15.13,0
2019-01-10,472.25,92.38,47.17,0,62.92,-0.38,15.25,15.25,0
2019-01-11,484.33,90.92,47.83,0,114.42,1.83,16.46,16.04,0
2019-01-12,474.17,91.08,48.38,1895.83,117.04,3.92,16.92,16.58,0
2019-01-13,507.17,88.58,48.75,0,147.46,1.13,17.04,16.54,0.08
2019-01-14,508.46,90.92,49.29,0,108.38,0,16.33,15.96,0.04
2019-01-15,430.88,91.5,50.04,270.83,87.83,0.79,15.71,15.54,0.46
2019-01-16,428.88,86.5,50.25,0,164.46,-3.29,16.46,15.58,0.38
2019-01-17,477.75,90.04,49.96,201.42,76.96,-0.21,15.04,15.13,0
2019-01-18,491.42,88.33,50.83,0,139.17,0.21,16.71,15.67,0
2019-01-19,498.75,92.58,51.88,1000,82.63,2.29,15.88,15.29,0
2019-01-20,457.88,89.29,52.96,645.83,167.25,1.46,16.63,15.75,1.58
2019-01-21,454.29,89,52.21,0,128.92,-0.08,16.33,15.5,1.38
2019-01-22,450.58,88.04,52.63,0,154.75,1.71,17,16.08,1.04
2019-01-23,444.92,90.04,52.96,0,137.29,2.67,16.83,15.63,1.58
2019-01-24,455.58,87.29,53.67,0,173.88,-0.33,17.13,15.75,0.5
2019-01-25,436.08,89.54,54.08,0,119.33,-1.04,16.08,15.08,1.54
2019-01-26,459.54,87.33,55.29,0,178.79,-2.04,16.58,15.42,1.54
2019-01-27,445.25,87.42,55.46,0,177.75,-1.13,17,15.54,0.54
2019-01-28,438.88,89.46,55.88,444.46,157.58,3,16.92,15.92,0.08
2019-01-29,474.88,87.04,55.67,0,180.63,-1.25,17,15.38,0
2019-01-30,512.08,91.38,55.92,0,122.96,1.38,16.58,15.63,0
2019-01-31,506.54,92.92,54.17,2625,67.13,0.17,15.5,15.46,0
2019-02-01,524.79,90.79,54.13,6.96,126.38,-0.96,16.42,15.08,0
2019-02-02,544.08,92,56.21,562.46,118,2.46,16.75,15.88,0
2019-02-03,519.92,97.42,52.92,4993.08,10.88,6.58,15.08,15.83,0
2019-02-04,427.29,88,54.08,0,178.38,2.29,16.63,16.13,0
2019-02-05,452.42,88.54,56.29,0,170.13,3.21,17.25,15.88,0
2019-02-06,474.92,90.5,56.13,0,135.58,5.25,17.17,15.58,0.33
2019-02-07,452.83,91.83,55.79,0,138.96,1.96,16.33,15.5,1.83
2019-02-08,495.08,89.83,55.54,0,166.5,-2.71,16.96,15.38,1.21
2019-02-09,472,89.29,55.96,0,190.33,-1.79,17.04,15.54,0.96
2019-02-10,492.5,91.71,56.04,0,120.38,-1.75,16.46,15.29,1.67
2019-02-11,490.75,89.58,56.54,0,178.92,-1.21,17.08,15.58,0.38
2019-02-12,506.04,90.83,56.29,0,154.04,-0.5,17.21,15.67,0
2019-02-13,513.88,89.46,56.75,0,180.75,0.42,17.42,15.92,0
2019-02-14,482.08,89.83,56.75,0,187.04,0.63,17.5,16.17,0.42
2019-02-15,505.04,94.75,56.83,187.5,88.21,1.25,16.21,15.58,0.08
2019-02-16,385.21,90.58,57.58,0,165.17,0.04,17.38,15.92,0.29
2019-02-17,458.58,87.75,57.08,0,212.71,-1.29,18.21,16.04,0.08
2019-02-18,498.29,93.29,57.46,395.83,104.21,0.71,17.25,15.71,0
2019-02-19,507.46,97.25,56.73,10000,16.18,2.36,17.08,15.73,0
2019-02-20,488.67,91.29,58.5,10000,159.17,2.46,18.13,16.13,2.5
2019-02-21,479.46,89.79,58.42,,196.46,1.63,18.46,16.54,1
2019-02-22,488.38,92.5,57.33,,142.17,2.79,17.79,16.5,
2019-02-23,466.29,88.88,57.29,,202.63,3.79,18.25,16.58,
2019-02-24,445.92,87.46,56.88,,216.46,4.88,18.42,16.83,
2019-02-25,483,93,56.21,,132.42,4.04,17.79,17.04,1.91
2019-02-26,449.54,89,57.25,,212.04,3.17,18.71,17.17,0.77
2019-02-27,559.75,98.67,56.29,,46.92,5.63,16.38,16.46,
2019-02-28,510,91.67,57.88,,150.54,4.08,17.75,16.33,3.2
2019-03-01,444.63,88.88,58.38,,201.88,4.46,18.54,16.92,0
2019-03-02,443.04,90.96,57.88,,183.38,6.42,18.46,17,
2019-03-03,489.67,92.96,57.96,,125.79,7.58,17.83,16.92,
2019-03-04,466.29,92,58.79,,184.42,7,18.38,17.21,3.33
2019-03-05,455.29,93.71,57.88,,125.63,6.38,17.54,17,0
2019-03-06,448.92,91.38,57.88,,180.63,7.96,18.5,17.42,3.5
2019-03-07,431.83,90.33,57.71,,213.5,5.08,18.58,17.58,2.3
2019-03-08,429.96,91.96,57.33,,257.33,4.38,18.79,17.38,1
2019-03-09,410.29,97.13,57.42,,212.67,6.33,18.21,16.96,
2019-03-10,425.79,97.42,57.88,10000,77.04,8.42,16.83,16.58,1
2019-03-11,364.25,96.88,57.92,10000,79,5.71,17,16.54,
2019-03-12,442.79,94.5,58.5,10000,123.71,5.29,17.5,16.79,3.73
2019-03-13,436.17,89.83,59.04,,235.92,3.54,19.33,17.04,3.4
2019-03-14,427.88,89,58.88,,250.5,4.71,19.46,17.38,1.88
2019-03-15,440.79,93.67,57.83,10000,149.92,7.21,18.08,17.46,4.04
2019-03-16,399.79,90.88,58.58,10000,241.38,5.63,19.38,17.38,2.08
2019-03-17,413.08,90.42,58.25,,254.38,6,19.5,16.96,2
2019-03-18,424.54,91.63,57.5,,206.42,5.58,18.58,17,0.75
2019-03-19,428.21,90.58,58.54,,222.92,7.88,19.29,17.46,
2019-03-20,517.42,97.79,57.17,10000,58.13,10.75,17.46,17.38,
2019-03-21,419.04,96.33,57.5,10000,86.29,8.04,17.21,17.13,4.08
2019-03-22,418.08,91.21,58.5,,272.33,3.63,19.79,17.08,2.37
2019-03-23,436.58,90.79,58.04,10000,220.75,3.42,18.71,17.17,2.75
2019-03-24,396.46,89.88,57.67,,289.92,3.5,19.46,16.96,1.58
2019-03-25,408.88,89.92,57.25,,219.96,5.33,19,17.5,1.75
2019-03-26,410.67,89.33,56.63,,227.54,7.38,18.96,17.63,0.92
2019-03-27,417.75,88.08,56.17,,244,12.83,19.63,18.17,4.29
2019-03-28,370.08,91.5,56.92,,209.88,8.96,19.79,18.79,1.4
2019-03-29,360.67,89.79,57,10000,245.71,9.04,20.04,18.04,3.5
2019-03-30,332.42,93.83,56.71,10000,142.88,6.79,18.38,17.58,4
2019-03-31,290.08,89.33,57.04,10000,267.63,5.79,19.17,16.96,4.33
2019-04-01,368.17,93.5,57.08,0,285.79,5.88,20.33,17.46,0.92
2019-04-02,428.42,93.25,57.75,0,292.54,5.83,20.38,18.13,0.13
2019-04-03,416.13,92.29,57.38,0,299.71,5.79,20,17.96,0.25
2019-04-04,424.46,92.08,57.09,0,263.87,6.83,20.25,18.09,0.09
2019-04-05,439.88,95,57,0,182.04,9.42,18.79,17.96,0
2019-04-06,429.13,91.13,57.79,0,247.75,10.42,20.13,18.25,0
2019-04-07,453.88,94.67,57.79,534.71,167.46,12.04,19,18.46,0
2019-04-08,420.46,92.38,58.71,0,266.67,9.83,20.38,18.71,0
2019-04-09,482.83,94.67,58.33,3840.25,128.42,10.96,18.21,18.13,0
2019-04-10,451.21,98.25,57.58,2152.79,73.46,7.67,17.54,17.42,0
2019-04-11,420.04,94.75,58.67,,195,7.75,19.25,18.08,
2019-04-12,413.46,93.33,58.67,,294.75,9.17,20.33,18.5,
2019-04-13,415.38,92.04,58.33,0,286.5,10.21,19.88,18.08,0
2019-04-14,455.04,96.71,57.25,687.5,120.46,9.21,18.17,18.25,0
2019-04-15,414.29,92.96,58.79,0,310.67,9,20.5,18.88,0
2019-04-16,421.96,90.83,59.29,0,261.46,12.63,20.5,19.33,0
2019-04-17,430.42,89.88,59.29,0,305.46,14.33,20.33,19.17,0.42
2019-04-18,415.67,90.75,59.29,0,281.92,14,20.46,19.54,1.58
2019-04-19,438.42,95.96,58.75,208.33,129.96,14.96,18.88,19.63,0.33
2019-04-20,415.42,92,60.13,0,263.75,16.25,20.38,19.92,0
2019-04-21,402.79,93.13,59.88,0,197.96,16.63,19.92,20.17,0
2019-04-22,419.92,91.08,60.29,0,296.75,17.13,20.83,20.38,0.21
2019-04-23,472.29,96.38,59.88,3833.38,84.92,16.96,18.92,19.96,0
2019-04-24,389.29,95.71,60.67,2102.92,148.83,16.58,18.92,19.83,0
2019-04-25,439.79,99,59.92,2708.33,46.92,13.21,18.17,18.88,0
2019-04-26,465.63,99.33,59.71,2449.63,43,9.5,17.54,18.08,0
2019-04-27,357.75,92.46,62,0,297.75,11.58,20.96,19.54,0
2019-04-28,410.13,93.42,61.92,493.04,234.21,13.04,19.83,19.58,0
2019-04-29,495.58,99.54,60.29,3180.54,43.5,11.25,17.75,18.54,0
2019-04-30,426.67,93.71,61.79,0,235.5,13.33,19.96,19.38,0
2019-05-01,380.92,93.21,61.67,0,279.42,11.96,20.5,19.92,0.92
2019-05-02,411.75,90.63,62.21,0,340.96,13.33,20.96,20.04,1.25
2019-05-03,418.71,88.63,61.92,0,334.33,14.63,20.88,20.17,0.5
2019-05-04,402.88,89.5,61.75,0,278.38,15.88,20.83,20.63,0
2019-05-05,411.54,87.5,61.92,0,324.17,16.46,21.13,20.92,0.92
2019-05-06,418.88,89.21,62.5,166.67,347.58,12.63,21.33,20.5,1.21
2019-05-07,430.25,88.96,63.42,0,345.29,12.13,21,20.04,0.96
2019-05-08,399.33,89.17,64.38,0,263.75,13.21,20.63,21.13,0.17
2019-05-09,375.5,86.75,64.42,0,335.75,14.46,20.75,21.04,0.13
2019-05-10,362.54,87.58,64.96,0,328.17,14.71,21.08,21.17,0.42
2019-05-11,400.04,86.04,65.17,0,329.63,16.17,21.17,21.63,0.38
2019-05-12,387.17,85.75,65.25,0,307.88,17.75,21.04,21.83,0
2019-05-13,389.46,88.63,65.83,501.5,273.42,17.67,21.04,21.88,0.08
2019-05-14,367.46,87.42,66.96,0,321.75,19.67,21.83,22.75,0
2019-05-15,384.67,86.29,67.08,0,323.67,20.5,21.88,23.08,0
2019-05-16,370.71,86.17,67.13,0,296.83,21.25,22.08,23.17,0
2019-05-17,379,87.21,66.71,0,270.88,21.76,22.83,22.59,0
2019-05-18,,93.25,,,,,24.29,,
2019-05-19,,89.96,,,,,25.67,,
2019-05-20,326.18,92.67,68.36,0,341.91,15.18,23.38,23.82,2.27
2019-05-21,343.22,95.67,67.96,0,368.91,16.3,21.88,22.09,1.3
2019-05-22,354.38,98.04,68.04,0,354.75,18.92,21.58,22.17,0.29
2019-05-23,371.96,95.67,68.54,0,348.63,20.63,21.83,22.5,0
2019-05-24,372.71,94.13,68.63,0,320.21,22.04,23.13,23.33,0
2019-05-25,398.29,82.36,66,0,12.43,17.57,24.08,20.86,0
2019-05-26,,,,,,,25.5,,
2019-05-27,,,,,,,22.33,,
2019-05-28,,,,,,,20.5,,
2019-05-29,,,,,,,22.54,,
2019-05-30,275,84.43,71,0,175,22,22.58,24,0
2019-05-31,,91.5,,,,,23.75,,
2019-06-01,,,,,,,24.71,,
2019-06-02,,,,,,,25.08,,
2019-06-03,,,,,,,25.29,,
2019-06-04,,,,,,,26.04,,
2019-06-05,342,88.71,72,0,302,23,25.21,27,0
2019-06-06,,86.96,,,,,22,,
2019-06-07,324.67,97,69.67,3333.33,127.33,18.67,22,22,0
2019-06-08,,84.79,,,,,24.75,,
2019-06-09,,81.08,,,,,24.79,,
2019-06-10,308.75,90.46,70.5,7500,109.5,18.25,24.79,22,0
2019-06-11,,88.79,,,,,23.17,,
2019-06-12,329.8,84.88,74.13,0,457.13,22.63,22.63,25.75,0.13
2019-06-13,341.87,83.54,72,0,326.48,21.7,22.42,23.87,0
2019-06-14,341.71,89.54,69.75,34.71,140.63,21.33,21.33,23,0
2019-06-15,330.67,87.46,71.29,0,324,19.88,21.25,23.25,1.54
2019-06-16,324.08,87.46,71.71,0,295.67,19.83,21.13,23.13,0.29
2019-06-17,330.33,86.96,59.63,0,306.96,20.38,21.42,23.04,0
2019-06-18,337.88,88.75,38.46,0,213.54,21.54,21.83,23.46,0
