수집일,내부CO2(ppm),내부습도(%),외부온도(도),내부온도(도)
2017-04-07,378.42,97.67,15.79,17.88
2017-04-08,379.46,88.58,15.42,20.13
2017-04-09,380,87.54,16.29,20.71
2017-04-10,380,92.79,15.25,19.5
2017-04-11,375.21,87.46,13.46,19.21
2017-04-12,380,88.5,13.13,19.42
2017-04-13,378.96,82.58,14.42,19.33
2017-04-14,380,83.67,14.92,19.54
2017-04-15,380,85.75,16.21,19.96
2017-04-16,380,84.46,18.75,22.42
2017-04-17,380,84.83,17.25,22.33
2017-04-18,380,96.75,15.08,18.63
2017-04-19,380,87.29,15.25,19.25
2017-04-20,380,80.79,14.67,19.71
2017-04-21,380,90.63,13.71,18.92
2017-04-22,380,85.21,15.21,20.5
2017-04-23,380,88.92,13,19.58
2017-04-24,380,85.17,13.75,19.63
2017-04-25,380,84.25,15.08,19.88
2017-04-26,380,89.33,18.75,20.92
2017-04-27,380,92.04,15.08,19.96
2017-04-28,380,84.21,14.42,19.54
2017-04-29,380,81.83,16.38,20.79
2017-04-30,380,80.58,18.33,21.83
2017-05-01,380,81.25,21,22.96
2017-05-02,380,82.67,19.33,22.25
2017-05-03,379.46,83.96,16.17,20.92
2017-05-04,380,82.88,17.42,22.08
2017-05-05,380,86.42,18.25,22.63
2017-05-06,380,96.17,17.75,21.58
2017-05-07,380,83,18.63,21.63
2017-05-08,380,80.92,19.38,21.71
2017-05-09,380,88.29,19.46,21.67
2017-05-10,380,97.63,14.67,20.17
2017-05-11,380,90.71,17.13,21.33
2017-05-12,380,88,20.54,23.08
2017-05-13,380,96,17.88,20.17
2017-05-14,380,87.58,18.71,21.33
2017-05-15,380,82.21,17.88,20.75
2017-05-16,380,85.08,16.71,20.46
2017-05-17,380,88.92,16.96,21.13
2017-05-18,380,85.92,18.04,21.96
2017-05-19,380,84.63,19.88,22.83
2017-05-20,380,83.71,21.75,23.33
2017-05-21,380,88.54,20.58,23.21
2017-05-22,380,87.54,20.25,22.54
2017-05-23,380,84.92,20.38,22.08
2017-05-24,380,90.83,19.67,21.58
2017-05-25,380,91.42,21.42,23.17
2017-05-26,380,85.5,21.58,23.71
2017-05-27,380,85.54,17.79,20.58
2017-05-28,380,86.13,17.92,20.71
2017-05-29,380,85.88,20.04,21.67
2017-05-30,380,85.46,25.08,24.88
2017-05-31,380,86.04,24.38,24.79
2017-06-01,380,90.92,22.29,23.46
2017-06-02,380,89.54,23.63,25.17
2017-06-03,380,86.88,20.58,22.54
2017-06-04,380,86.21,21.17,23.29
2017-06-05,380,84.63,20.83,22.58
2017-06-06,380,87.04,20.54,22.38
2017-06-07,380,94.83,18.13,20.38
2017-06-08,380,94.13,20.04,22.38
2017-06-09,380,87.63,21.13,23.46
2017-06-10,380,87.38,22.83,23.83
2017-06-11,380,91.58,23.67,23.79
2017-06-12,380,91.63,20.71,23.17
2017-06-13,380,89.5,19.67,21.5
2017-06-14,380,91.33,19.67,21.71
2017-06-15,380,88.29,21.46,23
2017-06-16,380,87.21,23.92,24.5
2017-06-17,380,90.04,22.5,23.71
2017-06-18,380,89.13,22.42,23.79
2017-06-19,380,88.71,23.33,24.54
2017-06-20,380,87.75,24.5,25.04
2017-06-21,380,95.96,21.96,22.21
2017-06-22,380,89.92,23.29,24.58
2017-06-23,380,91.25,23.83,25.17
2017-06-24,380,93.38,23.67,24.96
2017-06-25,380,96.29,23.42,24.88
2017-06-26,380,96.58,23.38,24.88
2017-06-27,380,97.71,22.75,24.04
2017-06-28,380,96.79,23.38,24.38
2017-06-29,380,95.92,23.96,25.75
2017-06-30,380,98,22.13,23.42
2017-07-01,380,96.58,24.58,26.83
2017-07-02,380,96.88,26.63,27.67
2017-07-03,380,97,27.33,27.58
2017-07-04,380,96.67,27.25,27.13
2017-07-05,380,96.58,27.63,29.29
2017-07-06,380,96.75,26.75,29.29
2017-07-07,380,97.83,24.92,26.71
2017-07-08,380,97.42,25.88,28.29
2017-07-09,380,97.79,26.83,28.25
2017-07-10,380,96.46,27.46,30.58
2017-07-11,380,98.13,27.88,29.46
2017-07-12,380,98.54,26.58,29.33
2017-07-13,380,98.38,27.88,33.79
2017-07-14,380,98.5,27.17,29.75
2017-07-15,380,98.21,27.38,30.08
2017-07-16,380,98.5,28,29.58
2017-07-17,380,98.38,29.13,32.58
2017-07-18,380,98.83,27.63,31.42
2017-07-19,380,98.71,27.46,30.63
2017-07-20,380,98.46,28.21,32.08
2017-07-21,380,98.67,29.04,30.5
2017-07-22,380,98.88,30.92,31.25
2017-07-23,380,98.75,30.83,31.25
2017-07-24,380,98.75,29.33,29.75
2017-07-25,380,98.92,30.96,31.46
2017-07-26,380,98.58,28.67,28.75
2017-07-27,380,98.33,26.58,27.04
2017-07-28,380,98.75,25.75,26.13
2017-07-29,380,98.67,27.33,27.58
2017-07-30,380,98.83,26.5,26.79
2017-07-31,380,98.67,27.25,27.71
2017-08-01,380,98.83,27.29,27.67
2017-08-02,380,98.46,27.29,27.67
2017-08-03,380,98.63,27.63,27.96
2017-08-04,380,98.63,27.75,28.33
2017-08-05,380,98.79,29.5,30.08
2017-08-06,380,98.67,30.29,31.04
2017-08-07,380,98.58,30.75,31.46
2017-08-08,380,98.75,30.88,31.42
2017-08-09,380,98.83,28.96,29.29
2017-08-10,380,98.79,27.17,27.67
2017-08-11,380,98.42,29.42,30
2017-08-12,380,99.04,27.17,28.04
2017-08-13,380,98.33,26.17,26.71
2017-08-14,380,98.79,24.42,24.67
2017-08-15,380,99.21,22.5,22.58
2017-08-16,380,98.67,23.04,23.25
2017-08-17,380,98.04,26.79,27.29
2017-08-18,380,98.54,27.38,27.88
2017-08-19,380,98.71,27.17,27.79
2017-08-20,380,98.71,26.08,26.58
2017-08-21,380,98.83,25.33,25.58
2017-08-22,380,98.33,26.25,26.79
2017-08-23,380,98.33,27.04,27.21
2017-08-24,380,98.29,29.21,29.67
2017-08-25,380,98.83,30.04,30.29
2017-08-26,380,98.88,28.79,29.33
2017-08-27,380,98.5,25.67,25.96
2017-08-28,380,98.67,23.21,24
2017-08-29,380,98.54,25.54,26.04
2017-08-30,380,98.88,27.75,28.5
2017-08-31,380,98.54,23.42,24.33
2017-09-01,380,98.83,23.08,23.88
2017-09-02,380,98.58,22.92,23.63
2017-09-03,380,98.63,20.71,21.25
2017-09-04,380,98.42,22.04,22.67
2017-09-05,380,98.58,22.38,22.79
2017-09-06,380,98.92,22.13,22.67
2017-09-07,380,98.96,21.46,21.71
2017-09-08,380,98.04,20.92,21.04
2017-09-09,380,98.08,22.46,23
2017-09-10,380,98.42,23.04,23.21
2017-09-11,380,98.42,23.21,23.42
2017-09-12,380,98.67,21.46,21.71
2017-09-13,380,98.42,23.67,24
2017-09-14,380,98.71,22.67,22.92
2017-09-15,380,98.25,20.83,21.33
2017-09-16,380,98.46,20.67,20.96
2017-09-17,380,98.88,21.33,21.79
2017-09-18,380,98.88,22.25,22.33
2017-09-19,380,98.33,21.92,22.04
2017-09-20,380,98.29,23.04,23.29
2017-09-21,380,98.88,22.46,22.25
2017-09-22,380,98.46,19.21,19.29
2017-09-23,380,98.25,20.17,20.5
2017-09-24,380,98.38,20,20.17
2017-09-25,380,98.25,20.75,21.04
2017-09-26,380,98.33,22.13,22.5
2017-09-27,380,98.42,22.79,23.5
2017-09-28,380,98.75,19.33,19.42
2017-09-29,380,98.63,21.21,21.38
2017-09-30,380,98.29,17.04,17.5
2017-10-01,380,98.38,16.83,19.75
2017-10-02,380,98.5,15.54,17.71
2017-10-03,380,98.38,21.42,23.63
2017-10-04,380,98.33,21.54,24
2017-10-05,380,98.25,19.5,24.29
