수집일,내부CO2(ppm),내부습도(%),외부온도(도),내부온도(도)
2017-01-01,380,90.04,1.46,16.83
2017-01-02,378.46,90.96,2.67,16.79
2017-01-03,379.5,92.54,6.33,17.25
2017-01-04,380,91.63,4,17
2017-01-05,373.21,90.42,3.75,16.54
2017-01-06,378.96,94.04,5.54,16.33
2017-01-07,379.46,92.29,6.88,16.83
2017-01-08,380,93.75,4.79,16.08
2017-01-09,380,94.21,8.08,16.79
2017-01-10,378.42,92.13,6.17,16.42
2017-01-11,380,89.92,1.75,16.63
2017-01-12,380,91.21,0.08,16.46
2017-01-13,380,92.71,2.88,15.83
2017-01-14,380,92.04,0.33,15.54
2017-01-15,380,90.42,-2.46,16.29
2017-01-16,380,89.17,-3.29,16.08
2017-01-17,380,89.63,-0.96,16.58
2017-01-18,380,91.88,-0.54,16.29
2017-01-19,380,92.46,2.96,16.63
2017-01-20,380,92.42,2.92,16.58
2017-01-21,380,92.33,0.96,15.71
2017-01-22,378.96,91.17,-1.29,16.5
2017-01-23,380,91.67,-0.33,15.83
2017-01-24,377.88,89.08,-3.13,16.13
2017-01-25,380,89.75,-3.04,16.79
2017-01-26,380,89.83,-2.46,16.75
2017-01-27,379.5,90.67,0.13,16.79
2017-01-28,375.83,92.08,5.92,17
2017-01-29,378.92,91.67,2.38,17.21
2017-01-30,380,97.29,4.38,15.25
2017-01-31,379.5,93.17,2.96,16.92
2017-02-01,380,92.25,0,17.17
2017-02-02,379.46,92.08,1.75,17.21
2017-02-03,379.5,89.58,0.54,17.42
2017-02-04,380,90.92,2,17.17
2017-02-05,379.46,93.96,6.17,17.08
2017-02-06,380,94.46,6.54,17.08
2017-02-07,380,90.79,2.75,17.46
2017-02-08,380,93,2.08,17.04
2017-02-09,380,95.5,2.88,16.71
2017-02-10,380,92.17,0.04,16.75
2017-02-11,380,91.67,-2.54,16.46
2017-02-12,377.92,90.25,-1.67,16.88
2017-02-13,380,90.71,-0.17,17.38
2017-02-14,380,92.29,1.67,17.08
2017-02-15,380,91.46,3.79,17.54
2017-02-16,380,90.67,2.96,17.63
2017-02-17,378.29,91.75,6.88,17.96
2017-02-18,380,93,10.92,18
2017-02-19,380,91,3.13,17.46
2017-02-20,380,92.63,4.38,17.58
2017-02-21,378.92,93.08,9.17,17.63
2017-02-22,376.42,90.38,2.46,17.21
2017-02-23,380,97.29,4.33,15.33
2017-02-24,378.33,93.08,4.13,17.04
2017-02-25,378.5,90.67,2.08,17
2017-02-26,379.46,91.04,3.42,16.83
2017-02-27,378.46,91.54,3.79,17.21
2017-02-28,380,90.54,5.67,17.25
2017-03-01,380,89.67,5.71,17.38
2017-03-02,379,90.54,6.88,17.21
2017-03-03,380,91.83,5.46,17
2017-03-04,380,88.04,4.29,17.17
2017-03-05,380,88.17,6.96,17.46
2017-03-06,379.5,91.79,7.29,17.33
2017-03-07,380,87.83,5.96,17.58
2017-03-08,380,89,1.42,17.21
2017-03-09,378.46,88.71,1.83,17.5
2017-03-10,380,88.75,6.54,17.67
2017-03-11,380,88.58,7.25,17.96
2017-03-12,380,88.63,6.96,17.96
2017-03-13,379.46,89.42,8.88,18.21
2017-03-14,379.5,91.33,10.92,18.29
2017-03-15,380,89.42,9.13,17.79
2017-03-16,380,87.92,6.58,18.13
2017-03-17,380,90.75,7.46,18.33
2017-03-18,380,87.83,7.08,18.33
2017-03-19,379.46,93.13,7.88,17.92
2017-03-20,378.5,87.17,9.42,18.58
2017-03-21,380,96.38,7.75,16.21
2017-03-22,380,90.04,9.71,18.5
2017-03-23,378.96,92.04,7.21,18
2017-03-24,378.96,92.21,10.38,18.08
2017-03-25,379.5,94.96,8.92,17.83
2017-03-26,378.96,96.83,7.13,15.96
2017-03-27,380,93.92,7.75,17.71
2017-03-28,380,92.42,6.88,17.88
2017-03-29,380,90.71,8.13,18.54
2017-03-30,379.5,97,7.33,16.04
2017-03-31,380,88.5,11.04,18.79
2017-04-01,380,95.13,10.21,17.75
2017-04-02,380,93.79,8.54,18
2017-04-03,380,86.67,8.04,18.75
2017-04-04,380,82.88,11.71,19.58
2017-04-05,376.88,83,12.79,19.25
2017-04-06,378.92,96.29,14.58,17.63
