조사일,주차,생장길이(cm),화방높이(cm),줄기굵기(mm),엽장(cm),엽폭(cm),엽수(개),개화군(점),착과군(점),열매수(개),최종화방번호(번)
2021-01-06,14,3124.0,174.0,6.0,364.0,295.0,8.0,6.0,5.0,13.0,7.0
2021-01-13,15,125.0,184.0,9.0,373.0,310.0,10.0,7.0,6.0,11.0,7.0
2021-01-20,16,230.0,159.0,9.0,367.0,296.0,10.0,9.0,8.0,10.0,9.0
2021-01-27,17,198.0,186.0,8.0,349.0,282.0,11.0,9.0,8.0,12.0,10.0
2021-02-03,18,167.0,128.0,8.0,357.0,267.0,10.0,10.0,9.0,12.0,11.0
2021-02-10,19,192.0,99.0,7.0,331.0,230.0,9.0,11.0,10.0,13.0,11.0
2021-02-17,20,190.0,186.0,8.0,385.0,319.0,10.0,11.0,11.0,13.0,12.0
2021-02-24,21,190.0,146.0,7.0,305.0,234.0,9.0,12.0,11.0,14.0,12.0
2021-03-03,22,212.0,230.0,9.0,347.0,318.0,10.0,12.0,11.0,13.0,13.0
2021-03-10,23,175.0,236.0,9.0,357.0,335.0,9.0,13.0,12.0,14.0,13.0
2021-03-17,24,204.0,148.0,7.0,343.0,271.0,10.0,13.0,13.0,16.0,14.0
2021-03-24,25,213.0,123.0,6.0,308.0,231.0,10.0,14.0,13.0,15.0,15.0
2021-03-31,26,209.0,189.0,7.0,343.0,268.0,9.0,15.0,14.0,17.0,15.0
2021-04-07,27,193.0,234.0,7.0,351.0,301.0,10.0,16.0,15.0,15.0,16.0
2021-04-14,28,174.0,132.0,6.0,309.0,249.0,10.0,16.0,15.0,14.0,17.0
2021-04-21,29,173.0,107.0,5.0,302.0,213.0,13.0,17.0,16.0,15.0,18.0
2021-04-28,30,202.0,153.0,6.0,348.0,267.0,10.0,18.0,17.0,14.0,18.0
2021-05-06,31,190.0,138.0,6.0,322.0,204.0,10.0,19.0,17.0,14.0,19.0
2021-05-13,32,241.0,159.0,5.0,326.0,213.0,14.0,20.0,18.0,16.0,19.0
2021-05-21,33,239.0,169.0,5.0,227.0,138.0,17.0,20.0,19.0,15.0,21.0
2021-05-27,34,255.0,238.0,5.0,302.0,219.0,14.0,21.0,20.0,16.0,21.0
2021-06-03,35,86.0,152.0,6.0,329.0,264.0,15.0,20.0,20.0,16.0,21.0
2021-06-10,36,75.0,172.0,6.0,328.0,245.0,12.0,20.0,20.0,14.0,21.0
2021-06-16,37,125.0,277.0,6.0,320.0,245.0,12.0,20.0,19.0,13.0,21.0
2021-06-24,38,0.0,182.0,6.0,351.0,302.0,8.0,20.0,20.0,10.0,21.0
2021-06-30,39,0.0,283.0,7.0,311.0,292.0,8.0,20.0,20.0,7.0,21.0
