조사일,주차,생장길이(cm),화방높이(cm),줄기굵기(mm),엽장(cm),엽폭(cm),엽수(개),개화군(점),착과군(점),열매수(개),최종화방번호(번)
2019-12-09,10,0.0,193.0,13.0,358.0,349.0,8.0,3.0,3.0,6.0,3.0
2019-12-16,11,98.0,189.0,11.0,356.0,329.0,10.0,4.0,4.0,11.0,4.0
2019-12-23,12,139.0,148.0,8.0,345.0,279.0,12.0,4.0,4.0,14.0,5.0
2019-12-30,13,59.0,111.0,7.0,352.0,292.0,13.0,5.0,5.0,14.0,5.0
2020-01-06,14,36.0,220.0,7.0,340.0,288.0,12.0,5.0,5.0,16.0,6.0
2020-01-13,15,28.0,215.0,7.0,348.0,302.0,13.0,5.0,5.0,17.0,6.0
2020-01-20,16,35.0,162.0,7.0,322.0,259.0,13.0,5.0,5.0,18.0,6.0
2020-01-28,17,31.0,228.0,7.0,321.0,273.0,11.0,5.0,5.0,20.0,6.0
2020-02-03,18,25.0,288.0,7.0,355.0,319.0,11.0,5.0,5.0,22.0,6.0
2020-02-10,19,11.0,152.0,7.0,320.0,303.0,14.0,5.0,5.0,20.0,6.0
2020-02-18,20,26.0,174.0,6.0,332.0,295.0,13.0,5.0,5.0,21.0,6.0
2020-02-25,21,16.0,91.0,5.0,323.0,295.0,13.0,5.0,6.0,20.0,6.0
2020-03-03,22,18.0,108.0,6.0,332.0,304.0,15.0,4.0,5.0,11.0,5.0
2020-03-11,23,22.0,17.0,1.0,328.0,306.0,16.0,4.0,5.0,13.0,5.0
2020-03-16,24,22.0,51.0,3.0,338.0,339.0,18.0,5.0,5.0,13.0,6.0
2020-03-23,25,12.0,53.0,2.0,218.0,217.0,14.0,5.0,6.0,15.0,6.0
2020-03-30,26,15.0,28.0,3.0,179.0,144.0,18.0,6.0,6.0,10.0,7.0
2020-04-06,27,20.0,78.0,4.0,180.0,143.0,18.0,7.0,7.0,9.0,8.0
2020-04-13,28,16.0,39.0,2.0,121.0,77.0,18.0,7.0,7.0,6.0,8.0
2020-04-20,29,29.0,50.0,2.0,124.0,87.0,19.0,8.0,7.0,8.0,8.0
2020-04-27,30,26.0,30.0,2.0,137.0,93.0,18.0,8.0,7.0,10.0,8.0
2020-05-04,31,34.0,71.0,2.0,160.0,127.0,19.0,8.0,7.0,12.0,8.0
2020-05-11,32,32.0,41.0,2.0,163.0,127.0,20.0,9.0,8.0,10.0,9.0
2020-05-18,33,27.0,46.0,3.0,171.0,136.0,20.0,9.0,8.0,8.0,9.0
2020-05-25,34,27.0,41.0,3.0,107.0,80.0,19.0,9.0,8.0,4.0,9.0
2020-06-01,35,0.0,0.0,0.0,113.0,83.0,19.0,9.0,8.0,4.0,9.0
